,identifier,genre,genreId
203,bbc.mobile.news.ww,News & Magazines,NEWS_AND_MAGAZINES
204,net.aljazeera.english,News & Magazines,NEWS_AND_MAGAZINES
205,com.bskyb.skynews.android,News & Magazines,NEWS_AND_MAGAZINES
206,com.policybazaar,Finance,FINANCE
207,com.paisabazaar,Finance,FINANCE
208,in.bajajfinservmarkets.app,Finance,FINANCE
209,com.bankbazaar.app&hl=en_IN,Finance,FINANCE
210,com.mycash.moneytap.app,Finance,FINANCE
211,com.dreamplug.androidapp,Lifestyle,LIFESTYLE
212,com.kreditbee.android,Finance,FINANCE
213,com.GotoCash,Finance,FINANCE
214,com.micredit.in.gp,Finance,FINANCE
215,com.kreditzy.android,Finance,FINANCE
216,co.afg.rupie,Finance,FINANCE
217,com.okcash.liufang,Finance,FINANCE
218,com.jc.icredit,Finance,FINANCE
219,in.cashmama.app,Finance,FINANCE
220,com.fastbanking,Finance,FINANCE
221,com.india.beautycash,Finance,FINANCE
222,com.branch_international.branch.branch_demo_android,Finance,FINANCE
223,com.naviapp,Finance,FINANCE
224,com.earlysalary.android,Finance,FINANCE
225,com.indiaBulls,Finance,FINANCE
226,com.jc.icredit,Finance,FINANCE
227,com.daamitt.walnut.app,Finance,FINANCE
228,com.fundeasy.bankbalancecheck,Finance,FINANCE
229,com.sbi.SBIFreedomPlus,Finance,FINANCE
230,com.snapwork.hdfc,Finance,FINANCE
231,com.csam.icici.bank.imobile,Finance,FINANCE
232,com.axis.mobile,Finance,FINANCE
233,com.dbs.in.digitalbank,Finance,FINANCE
234,com.msf.kbank.mobile,Finance,FINANCE
235,com.rblbank.mobank,Finance,FINANCE
236,in.pnbindia.mpassbook,Finance,FINANCE
237,com.infrasoft.uboi,Finance,FINANCE
238,com.alb.mobilebanking,Finance,FINANCE
239,com.mobile.syndicatepassbook,Finance,FINANCE
240,com.boi.mpay,Finance,FINANCE
241,com.canarabank.mobility,Finance,FINANCE
242,com.ujjivanbank.mobilebanking,Finance,FINANCE
243,com.fss.indus,Finance,FINANCE
244,com.atomyes,Finance,FINANCE
245,com.bsl.hyundai,Business,BUSINESS
246,com.girnarsoft.cardekho,Auto & Vehicles,AUTO_AND_VEHICLES
247,com.carwale,Auto & Vehicles,AUTO_AND_VEHICLES
248,com.til.zigwheels,Auto & Vehicles,AUTO_AND_VEHICLES
249,com.bikewale.app,Auto & Vehicles,AUTO_AND_VEHICLES
250,com.girnarsoft.bikedekho,Auto & Vehicles,AUTO_AND_VEHICLES
251,com.mgmotor.customerapp,Business,BUSINESS
252,com.saicmotor.iov.india,Business,BUSINESS
253,in.droom,Shopping,SHOPPING
254,com.cartrade.car,Auto & Vehicles,AUTO_AND_VEHICLES
255,com.urbanclap.urbanclap,House & Home,HOUSE_AND_HOME
256,com.move.realtor,House & Home,HOUSE_AND_HOME
257,com.timesgroup.magicbricks,Lifestyle,LIFESTYLE
258,com.nnacres.app,Business,BUSINESS
259,com.locon.housing,Business,BUSINESS
260,com.makaan.seller,Business,BUSINESS
261,com.nobroker.app,Lifestyle,LIFESTYLE
262,com.project.vivareal,House & Home,HOUSE_AND_HOME
263,com.asianpaints.dbu.digital.colourwithasianpaints,House & Home,HOUSE_AND_HOME
264,com.cethar.dcs.duluxcolour,Lifestyle,LIFESTYLE
265,com.uxarmy.nippon,Lifestyle,LIFESTYLE
266,com.nerolac.colourmyspace,House & Home,HOUSE_AND_HOME
267,com.commonfloor,Lifestyle,LIFESTYLE
